Id,Dataset Name,Agency,Instrument,Physical variable,var,Units,Grid Dimension,Variable Name in Web Interface,model,Dataset Start Time,Dataset End Time
290,HadGEM2-A TOA Outgoing Clear-Sky Longwave Radiation,UKMO,HadGEM2-A,TOA Outgoing Clear-Sky Longwave Radiation,rlutcs,W m-2,2D,TOA Outgoing Clear-Sky Longwave Radiation,UKMO_HadGEM2-A,199412,200811
291,HadGEM2-A TOA Outgoing Clear-Sky Shortwave Radiation,UKMO,HadGEM2-A,TOA Outgoing Clear-Sky Shortwave Radiation,rsutcs,W m-2,2D,TOA Outgoing Clear-Sky Shortwave Radiation,UKMO_HadGEM2-A,199412,200811
292,HadGEM2-A Air Temperature,UKMO,HadGEM2-A,Air Temperature,ta,K,3D,Air Temperature,UKMO_HadGEM2-A,199412,200810
293,HadGEM2-A Specific Humidity,UKMO,HadGEM2-A,Specific Humidity,hus,1,3D,Specific Humidity,UKMO_HadGEM2-A,199412,200810
294,HadGEM2-A Cloud Ice Water Content,UKMO,HadGEM2-A,Cloud Ice Water Content,cli,1,3D,Cloud Ice Water Content,UKMO_HadGEM2-A,197808,200810
295,HadGEM2-A Cloud Liquid Water Content,UKMO,HadGEM2-A,Cloud Liquid Water Content,clw,1,3D,Cloud Liquid Water Content,UKMO_HadGEM2-A,197808,200810
296,HadGEM2-A Vertical Wind Velocity,UKMO,HadGEM2-A,Vertical Wind Velocity,wap,m s-1,3D,Vertical Wind Velocity,UKMO_HadGEM2-A,197808,200811
297,HadGEM2-A Relative Humidity,UKMO,HadGEM2-A,Relative Humidity,hur,%,3D,Relative Humidity,UKMO_HadGEM2-A,197808,200811
298,GRACE Equivalent Water Height Over Land,NASA,GRACE,Equivalent Water Height Over Land,zl,cm,2D,Equivalent Water Height Over Land,NASA_GRACE,200301,201111
299,GRACE Equivalent Water Height Over Ocean,NASA,GRACE,Equivalent Water Height Over Ocean,zo,cm,2D,Equivalent Water Height Over Ocean,NASA_GRACE,200301,201111
300,MODIS Total Cloud Fraction,NASA,MODIS,Total Cloud Fraction,clt,%,2D,Total Cloud Fraction,NASA_MODIS,200002,201108
301,MODIS Leaf Area Index,NASA,MODIS,Leaf Area Index,lai,1,2D,Leaf Area Index,NASA_MODIS,200001,200911
302,AMSRE Sea Surface Temperature,NASA,AMSRE,Sea Surface Temperature,tos,K,2D,Sea Surface Temperature,NASA_AMSRE,200205,201011
303,TRMM Precipitation Flux,NASA,TRMM,Precipitation Flux,pr,kg m-2 s-1,2D,Precipitation Flux,NASA_TRMM,199812,201311
304,GPCP Precipitation Flux,NASA,GPCP,Precipitation Flux,pr,kg m-2 s-1,2D,Precipitation Flux,NASA_GPCP,197912,201105
305,QuikSCAT Eastward Near-Surface Wind,NASA,QuikSCAT,Eastward Near-Surface Wind,uas,m s-1,2D,Eastward Near-Surface Wind,NASA_QuikSCAT,199907,200909
306,QuikSCAT Northward Near-Surface Wind,NASA,QuikSCAT,Northward Near-Surface Wind,vas,m s-1,2D,Northward Near-Surface Wind,NASA_QuikSCAT,199907,200909
307,QuikSCAT Near-Surface Wind Speed,NASA,QuikSCAT,Near-Surface Wind Speed,sfcWind,m s-1,2D,Near-Surface Wind Speed,NASA_QuikSCAT,199907,200909
308,AVISO Sea Surface Height,NASA,AVISO,Sea Surface Height,zos,m,2D,Sea Surface Height,NASA_AVISO,199209,201011
309,NODC Ocean Heat Content Anomaly within 700 m Depth,NOAA,NODC,Ocean Heat Content Anomaly within 700 m Depth,ohc700,1e18 joules,2D,Ocean Heat Content Anomaly within 700 m Depth,NOAA_NODC,195512,201211
310,NODC Ocean Heat Content Anomaly within 2000 m Depth,NOAA,NODC,Ocean Heat Content Anomaly within 2000 m Depth,ohc2000,1e18 joules,2D,Ocean Heat Content Anomaly within 2000 m Depth,NOAA_NODC,200512,201211
311,CERES Surface Downwelling Longwave Radiation,NASA,CERES,Surface Downwelling Longwave Radiation,rlds,W m-2,2D,Surface Downwelling Longwave Radiation,NASA_CERES,200002,201001
312,CERES Surface Downwelling Shortwave Radiation,NASA,CERES,Surface Downwelling Shortwave Radiation,rsds,W m-2,2D,Surface Downwelling Shortwave Radiation,NASA_CERES,200002,201001
313,CERES Surface Upwelling Longwave Radiation,NASA,CERES,Surface Upwelling Longwave Radiation,rlus,W m-2,2D,Surface Upwelling Longwave Radiation,NASA_CERES,200002,201001
314,CERES Surface Upwelling Shortwave Radiation,NASA,CERES,Surface Upwelling Shortwave Radiation,rsus,W m-2,2D,Surface Upwelling Shortwave Radiation,NASA_CERES,200002,201001
315,CERES Surface Downwelling Clear-Sky Longwave Radiation,NASA,CERES,Surface Downwelling Clear-Sky Longwave Radiation,rldscs,W m-2,2D,Surface Downwelling Clear-Sky Longwave Radiation,NASA_CERES,200002,201001
316,CERES Surface Downwelling Clear-Sky Shortwave Radiation,NASA,CERES,Surface Downwelling Clear-Sky Shortwave Radiation,rsdscs,W m-2,2D,Surface Downwelling Clear-Sky Shortwave Radiation,NASA_CERES,200002,201001
317,CERES Surface Upwelling Clear-Sky Shortwave Radiation,NASA,CERES,Surface Upwelling Clear-Sky Shortwave Radiation,rsuscs,W m-2,2D,Surface Upwelling Clear-Sky Shortwave Radiation,NASA_CERES,200002,201001
318,CERES TOA Incident Shortwave Radiation,NASA,CERES,TOA Incident Shortwave Radiation,rsdt,W m-2,2D,TOA Incident Shortwave Radiation,NASA_CERES,200002,201205
319,CERES TOA Outgoing Longwave Radiation,NASA,CERES,TOA Outgoing Longwave Radiation,rlut,W m-2,2D,TOA Outgoing Longwave Radiation,NASA_CERES,200002,201205
320,CERES TOA Outgoing Shortwave Radiation,NASA,CERES,TOA Outgoing Shortwave Radiation,rsut,W m-2,2D,TOA Outgoing Shortwave Radiation,NASA_CERES,200002,201205
321,CERES TOA Outgoing Clear-Sky Longwave Radiation,NASA,CERES,TOA Outgoing Clear-Sky Longwave Radiation,rlutcs,W m-2,2D,TOA Outgoing Clear-Sky Longwave Radiation,NASA_CERES,200002,201205
322,CERES TOA Outgoing Clear-Sky Shortwave Radiation,NASA,CERES,TOA Outgoing Clear-Sky Shortwave Radiation,rsutcs,W m-2,2D,TOA Outgoing Clear-Sky Shortwave Radiation,NASA_CERES,200002,201205
323,AIRS Near-Surface Air Temperature,NASA,AIRS,Near-Surface Air Temperature,tas,K,2D,Near-Surface Air Temperature,NASA_AIRS,200208,201111
324,AIRS Air Temperature,NASA,AIRS,Air Temperature,ta,K,3D,Air Temperature,NASA_AIRS,200208,201104
325,AIRS Specific Humidity,NASA,AIRS,Specific Humidity,hus,1,3D,Specific Humidity,NASA_AIRS,200208,201104
326,MLS Air Temperature,NASA,MLS,Air Temperature,ta,K,3D,Air Temperature,NASA_MLS,200407,201011
327,MLS Specific Humidity,NASA,MLS,Specific Humidity,hus,1,3D,Specific Humidity,NASA_MLS,200407,201011
328,ARGO Ocean Temperature,ARGO,ARGO,Ocean Temperature,ot,K,3D,Ocean Temperature,ARGO_ARGO,200112,201304
329,ARGO Ocean Salinity,ARGO,ARGO,Ocean Salinity,os,,3D,Ocean Salinity,ARGO_ARGO,200112,201304
330,interim Total Cloud Fraction,ECMWF,interim,Total Cloud Fraction,clt,%,2D,Total Cloud Fraction,ECMWF_interim,197912,201403
331,interim Sea Surface Temperature,ECMWF,interim,Sea Surface Temperature,tos,K,2D,Sea Surface Temperature,ECMWF_interim,197912,201401
332,interim Eastward Near-Surface Wind,ECMWF,interim,Eastward Near-Surface Wind,uas,m s-1,2D,Eastward Near-Surface Wind,ECMWF_interim,199412,201411
333,interim Northward Near-Surface Wind,ECMWF,interim,Northward Near-Surface Wind,vas,m s-1,2D,Northward Near-Surface Wind,ECMWF_interim,199412,201411
334,interim Near-Surface Wind Speed,ECMWF,interim,Near-Surface Wind Speed,sfcWind,m s-1,2D,Near-Surface Wind Speed,ECMWF_interim,199412,201411
335,interim Vertical Wind Velocity,ECMWF,interim,Vertical Wind Velocity,wap,m s-1,3D,Vertical Wind Velocity,ECMWF_interim,197912,201401
336,interim Relative Humidity,ECMWF,interim,Relative Humidity,hur,%,3D,Relative Humidity,ECMWF_interim,197912,201401
