Id,Dataset Name,Agency,Instrument,Physical variable,var,Units,Grid Dimension,Variable Name in Web Interface,model,Dataset Start Time,Dataset End Time
52,E2-R Sea Surface Temperature,GISS,E2-R,Sea Surface Temperature,tos,K,2D,Sea Surface Temperature,GISS_E2-R,199412,200511
53,E2-R Eastward Near-Surface Wind,GISS,E2-R,Eastward Near-Surface Wind,uas,m s-1,2D,Eastward Near-Surface Wind,GISS_E2-R,199412,200511
54,E2-R Northward Near-Surface Wind,GISS,E2-R,Northward Near-Surface Wind,vas,m s-1,2D,Northward Near-Surface Wind,GISS_E2-R,199412,200511
55,E2-R Near-Surface Wind Speed,GISS,E2-R,Near-Surface Wind Speed,sfcWind,m s-1,2D,Near-Surface Wind Speed,GISS_E2-R,199412,200511
56,E2-R Sea Surface Height,GISS,E2-R,Sea Surface Height,zos,m,2D,Sea Surface Height,GISS_E2-R,199412,200511
57,E2-R Surface Downwelling Shortwave Radiation,GISS,E2-R,Surface Downwelling Shortwave Radiation,rsds,W m-2,2D,Surface Downwelling Shortwave Radiation,GISS_E2-R,199412,200511
58,E2-R Surface Upwelling Longwave Radiation,GISS,E2-R,Surface Upwelling Longwave Radiation,rlus,W m-2,2D,Surface Upwelling Longwave Radiation,GISS_E2-R,199412,200511
59,E2-R Surface Upwelling Shortwave Radiation,GISS,E2-R,Surface Upwelling Shortwave Radiation,rsus,W m-2,2D,Surface Upwelling Shortwave Radiation,GISS_E2-R,199412,200511
60,E2-R Surface Downwelling Clear-Sky Longwave Radiation,GISS,E2-R,Surface Downwelling Clear-Sky Longwave Radiation,rldscs,W m-2,2D,Surface Downwelling Clear-Sky Longwave Radiation,GISS_E2-R,199412,200511
61,E2-R Surface Downwelling Clear-Sky Shortwave Radiation,GISS,E2-R,Surface Downwelling Clear-Sky Shortwave Radiation,rsdscs,W m-2,2D,Surface Downwelling Clear-Sky Shortwave Radiation,GISS_E2-R,199412,200511
62,E2-R Surface Upwelling Clear-Sky Shortwave Radiation,GISS,E2-R,Surface Upwelling Clear-Sky Shortwave Radiation,rsuscs,W m-2,2D,Surface Upwelling Clear-Sky Shortwave Radiation,GISS_E2-R,199412,200511
63,E2-R TOA Incident Shortwave Radiation,GISS,E2-R,TOA Incident Shortwave Radiation,rsdt,W m-2,2D,TOA Incident Shortwave Radiation,GISS_E2-R,199412,200511
64,E2-R TOA Outgoing Longwave Radiation,GISS,E2-R,TOA Outgoing Longwave Radiation,rlut,W m-2,2D,TOA Outgoing Longwave Radiation,GISS_E2-R,199412,200511
65,E2-R TOA Outgoing Shortwave Radiation,GISS,E2-R,TOA Outgoing Shortwave Radiation,rsut,W m-2,2D,TOA Outgoing Shortwave Radiation,GISS_E2-R,199412,200511
66,E2-R TOA Outgoing Clear-Sky Longwave Radiation,GISS,E2-R,TOA Outgoing Clear-Sky Longwave Radiation,rlutcs,W m-2,2D,TOA Outgoing Clear-Sky Longwave Radiation,GISS_E2-R,199412,200511
67,E2-R TOA Outgoing Clear-Sky Shortwave Radiation,GISS,E2-R,TOA Outgoing Clear-Sky Shortwave Radiation,rsutcs,W m-2,2D,TOA Outgoing Clear-Sky Shortwave Radiation,GISS_E2-R,199412,200511
68,E2-R Air Temperature,GISS,E2-R,Air Temperature,ta,K,3D,Air Temperature,GISS_E2-R,199412,200511
69,E2-R Specific Humidity,GISS,E2-R,Specific Humidity,hus,1,3D,Specific Humidity,GISS_E2-R,199412,200511
70,E2-R Cloud Ice Water Content,GISS,E2-R,Cloud Ice Water Content,cli,1,3D,Cloud Ice Water Content,GISS_E2-R,200112,200511
71,E2-R Cloud Liquid Water Content,GISS,E2-R,Cloud Liquid Water Content,clw,1,3D,Cloud Liquid Water Content,GISS_E2-R,199412,200511
