User,Dataset Name,Num_Times_Used
ksauter,CERES TOA Outgoing Longwave Radiation,2
ksauter,CERES TOA Outgoing Shortwave Radiation,2
ksauter,MLS Specific Humidity,2
mlinz,CERES TOA Outgoing Shortwave Radiation,19
jnanteza,GPCP Precipitation Flux,3
ksauter,ESM2G Total Cloud Fraction,1
ksauter,ESM2G Sea Surface Temperature,1
rbuchholz,MODIS Total Cloud Fraction,4
ksauter,CERES TOA Outgoing Clear-Sky Longwave Radiation,1
jbrodie,MODIS Total Cloud Fraction,19
jbrodie,ESM2G Total Cloud Fraction,1
fpolverari,E2-H Precipitation Flux,6
jbrodie,HadGEM2-ES Total Cloud Fraction,1
emaroon,CERES Surface Downwelling Longwave Radiation,9
fpolverari,E2-H Total Cloud Fraction,1
emaroon,MLS Air Temperature,4
emaroon,CERES TOA Outgoing Longwave Radiation,8
emaroon,CERES TOA Outgoing Shortwave Radiation,6
emaroon,AIRS Near-Surface Air Temperature,5
mlinz,GRACE Equivalent Water Height Over Land,1
fpolverari,ESM2G Vertical Wind Velocity,1
mlinz,CERES TOA Outgoing Longwave Radiation,4
fcannon,E2-R Sea Surface Temperature,1
fcannon,AMSRE Sea Surface Temperature,6
ochimborazo,ESM2G Precipitation Flux,11
kzhang,ESM2G Precipitation Flux,6
btang,E2-R Cloud Liquid Water Content,1
kzhang,ESM2G Air Temperature,1
caquilinger,ESM2G Near-Surface Wind Speed,3
caquilinger,ESM2G Sea Surface Temperature,1
caquilinger,ESM2G Total Cloud Fraction,1
ochimborazo,ESM2G Specific Humidity,1
admin,MODIS Total Cloud Fraction,2
admin,ESM2G Specific Humidity,2
btang,GRACE Equivalent Water Height Over Ocean,2
ochimborazo,TRMM Precipitation Flux,48
btang,ESM2G Sea Surface Height,1
btang,AMSRE Sea Surface Temperature,1
caquilinger,GRACE Equivalent Water Height Over Land,1
fpolverari,GRACE Equivalent Water Height Over Land,1
fpolverari,GRACE Equivalent Water Height Over Ocean,1
fcannon,interim Vertical Wind Velocity,1
btang,interim Relative Humidity,1
emaroon,ARGO Ocean Temperature,3
kzhang,GPCP Precipitation Flux,1
kzhang,MODIS Total Cloud Fraction,19
kzhang,AMSRE Sea Surface Temperature,1
dzermenodia,ESM2G Precipitation Flux,7
dzermenodia,ESM2G Air Temperature,1
cmartinezvi,ESM2G Air Temperature,1
cmartinezvi,ARGO Ocean Temperature,2
mclavner,ESM2G Precipitation Flux,3
mclavner,ESM2G Air Temperature,2
mclavner,E2-H Precipitation Flux,1
hwei,ESM2G Precipitation Flux,8
hwei,ESM2G Near-Surface Wind Speed,2
hwei,ESM2G Air Temperature,1
hwei,ARGO Ocean Temperature,1
jteixeira,E2-R Precipitation Flux,1
jteixeira,GPCP Precipitation Flux,1
gmarques,ESM2G Precipitation Flux,4
gmarques,ESM2G Air Temperature,1
mroge,ESM2G Precipitation Flux,7
mroge,ESM2G Air Temperature,3
mroge,E2-R Precipitation Flux,1
fcannon,ESM2G Vertical Wind Velocity,1
kzhang,ESM2G Near-Surface Wind Speed,2
kwillmot,ESM2G Precipitation Flux,2
kwillmot,ESM2G Near-Surface Wind Speed,2
abeatriz,ESM2G Precipitation Flux,3
abeatriz,ESM2G Northward Near-Surface Wind,1
abeatriz,ESM2G Near-Surface Wind Speed,2
cmartinezvi,ESM2G Precipitation Flux,2
cmartinezvi,ESM2G Near-Surface Wind Speed,2
mroge,ESM2G Near-Surface Wind Speed,2
gmarques,ESM2G Near-Surface Wind Speed,2
jgristey,ESM2G Near-Surface Wind Speed,1
htseng,ESM2G Near-Surface Wind Speed,2
htseng,ESM2G TOA Outgoing Clear-Sky Shortwave Radiation,1
ksauter,ESM2G TOA Outgoing Clear-Sky Shortwave Radiation,1
ksauter,ESM2G Near-Surface Wind Speed,2
ksauter,ESM2G Surface Temperature,1
emaroon,ESM2G Near-Surface Wind Speed,2
emaroon,ESM2G TOA Outgoing Clear-Sky Shortwave Radiation,1
fpolverari,ESM2G Total Cloud Fraction,1
fpolverari,ESM2G Near-Surface Wind Speed,2
ochimborazo,ESM2G Near-Surface Wind Speed,2
ochimborazo,ESM2G TOA Outgoing Clear-Sky Longwave Radiation,1
fcannon,ESM2G Near-Surface Wind Speed,3
jnanteza,ESM2G Near-Surface Wind Speed,4
jnanteza,ESM2G TOA Outgoing Clear-Sky Shortwave Radiation,1
jnanteza,ESM2G Sea Surface Height,2
rbuchholz,ESM2G Precipitation Flux,4
rbuchholz,ESM2G Near-Surface Wind Speed,1
mlinz,ESM2G Near-Surface Wind Speed,1
fcannon,CM3 Surface Temperature,2
fcannon,CM3 Precipitation Flux,1
fcannon,E2-R Precipitation Flux,1
emaroon,CERES Surface Downwelling Shortwave Radiation,1
gmarques,AVISO Sea Surface Height,1
jnanteza,CERES Surface Downwelling Shortwave Radiation,3
dzermenodia,HadGEM2-ES Precipitation Flux,4
dzermenodia,HadGEM2-ES Total Cloud Fraction,2
dzermenodia,ESM2G Total Cloud Fraction,4
dzermenodia,TRMM Precipitation Flux,3
dzermenodia,MODIS Total Cloud Fraction,2
dzermenodia,E2-H Precipitation Flux,3
dzermenodia,E2-R Precipitation Flux,2
dzermenodia,CAM5 Precipitation Flux,2
dzermenodia,NORESM Precipitation Flux,4
dzermenodia,interim Vertical Wind Velocity,1
admin,ARGO Ocean Temperature,7
admin,interim Sea Surface Temperature,1
admin,QuikSCAT Eastward Near-Surface Wind,1
admin,QuikSCAT Near-Surface Wind Speed,1
admin,MK3.6 Near-Surface Wind Speed,1
admin,MK3.6 Cloud Ice Water Content,1
admin,NODC Ocean Heat Content Anomaly within 2000 m Depth,5
kzhang,CERES TOA Outgoing Longwave Radiation,7
kzhang,CERES TOA Outgoing Shortwave Radiation,3
jbrodie,CAM5 Total Cloud Fraction,4
jbrodie,CAM5 TOA Outgoing Longwave Radiation,4
abeatriz,CERES TOA Outgoing Shortwave Radiation,1
jbrodie,CERES TOA Outgoing Longwave Radiation,11
rbuchholz,AMSRE Sea Surface Temperature,1
rbuchholz,AIRS Specific Humidity,1
fpolverari,GPCP Precipitation Flux,3
ochimborazo,ESM2G Surface Temperature,2
ochimborazo,AMSRE Sea Surface Temperature,74
emaroon,MODIS Leaf Area Index,1
jbrodie,E2-H Total Cloud Fraction,7
jbrodie,E2-H TOA Outgoing Longwave Radiation,7
ochimborazo,MODIS Total Cloud Fraction,40
ochimborazo,ESM2G Sea Surface Height,1
hwei,HadGEM2-ES Precipitation Flux,2
cmartinezvi,ESM2G TOA Incident Shortwave Radiation,2
jgristey,ESM2G TOA Incident Shortwave Radiation,1
fpolverari,E2-R Precipitation Flux,1
fpolverari,CAM5 Precipitation Flux,1
fpolverari,NORESM Precipitation Flux,1
fpolverari,HadGEM2-ES Precipitation Flux,2
dzermenodia,E2-H Total Cloud Fraction,3
dzermenodia,E2-R Total Cloud Fraction,2
dzermenodia,CAM5 Total Cloud Fraction,2
abeatriz,ARGO Ocean Temperature,11
dzermenodia,NORESM Total Cloud Fraction,2
emaroon,CERES TOA Incident Shortwave Radiation,1
hwei,GPCP Precipitation Flux,1
ochimborazo,GRACE Equivalent Water Height Over Land,1
ochimborazo,GRACE Equivalent Water Height Over Ocean,1
mroge,QuikSCAT Near-Surface Wind Speed,1
fpolverari,QuikSCAT Northward Near-Surface Wind,1
htseng,CERES Surface Downwelling Shortwave Radiation,1
htseng,CERES TOA Incident Shortwave Radiation,1
fpolverari,interim Eastward Near-Surface Wind,1
fpolverari,interim Near-Surface Wind Speed,1
fpolverari,interim Northward Near-Surface Wind,1
kzhang,ARGO Ocean Temperature,2
emaroon,CERES TOA Outgoing Clear-Sky Longwave Radiation,3
emaroon,CERES TOA Outgoing Clear-Sky Shortwave Radiation,1
ochimborazo,GPCP Precipitation Flux,3
ochimborazo,QuikSCAT Eastward Near-Surface Wind,2
ochimborazo,QuikSCAT Northward Near-Surface Wind,1
ochimborazo,QuikSCAT Near-Surface Wind Speed,1
ochimborazo,AVISO Sea Surface Height,1
ochimborazo,NODC Ocean Heat Content Anomaly within 700 m Depth,1
ochimborazo,NODC Ocean Heat Content Anomaly within 2000 m Depth,2
ochimborazo,CERES Surface Downwelling Longwave Radiation,1
ochimborazo,MLS Air Temperature,1
ochimborazo,MLS Specific Humidity,1
ochimborazo,ARGO Ocean Temperature,3
,Check Total:,2804
,,
